pattern,lc #,problem name,difficulty,generated template?,explanation?,solution generated?,worked through?
warmup,217,contains duplicate,easy,yes,yes,,
,1832,pangram,easy,yes,yes,,
,345,reverse vowels,easy,yes,yes,,
,125,valid palindrome,easy,yes,yes,,
,242,valid anagram,easy,yes,yes,,
,243,shortest word distance,easy,yes,yes,,
,1512,number of good pairs,easy,yes,yes,,
,69,sqrt,medium,yes,yes,,
two pointers,167,pair with target sum,easy,,,,
,136,find non-duplicate number instances,easy,,,,
,977,squaring a sorted array,easy,,,,
,15,triplet sum to zero,medium,,,,
,16,triplet sum close to target,medium,,,,
,259,triplets with smaller sum,medium,,,,
,75,dutch national flag problem,medium,,,,
,18,quadruple sum to target,medium,,,,
,844,comparing strings containing backspaces,easy,,,,
,n/a,minimum window sort,medium,,,,
fast & slow pointers,,,,,,,
fast & slow pointers,141,linkedlist cycle,easy,,,,
,876,middle of the linkedlist,easy,,,,
,142,start of linkedlist cycle,medium,,,,
,202,happy number,medium,,,,
,234,palindrome linkedlist,medium,,,,
,143,rearrange a linkedlist,medium,,,,
,457,cycle in a circular array,hard,,,,
sliding window,53,maximum sum subarray of size k,easy,,,,
,209,smallest subarray with a greater sum,easy,,,,
,340,longest substring with k distinct characters,medium,,,,
,904,fruits into baskets,medium,,,,
,424,longest substring with same letters after replacement,hard,,,,
,1004,longest subarray with ones after replacement,hard,,,,
,567,permutation in a string,hard,,,,
,438,string anagrams,hard,,,,
,76,smallest window containing substring,hard,,,,
,30,words concatenation,hard,,,,
,713,counting subarrays with product less than a target,hard,,,,
,713,subarrays with product less than a target,hard,,,,
merge intervals,56,merge intervals,medium,,,,
,57,insert interval,medium,,,,
,986,intervals intersection,medium,,,,
,252,conflicting appointments,medium,,,,
,253,minimum meeting rooms,hard,,,,
,1235,maximum cpu load,hard,,,,
,759,employee free time,hard,,,,
cyclic sort,268,find the missing number,easy,,,,
,448,find all missing numbers,easy,,,,
,287,find the duplicate number,easy,,,,
,442,find all duplicate numbers,easy,,,,
,645,find the corrupt pair,easy,,,,
,41,find the smallest missing positive number,medium,,,,
,1060,find the first k missing positive numbers,hard,,,,
in-place reversal of a linked list,206,reverse a linkedlist,easy,,,,
,92,reverse a sub-list,medium,,,,
,25,reverse every k-element sub-list,medium,,,,
,61,rotate a linkedlist,medium,,,,
stacks,20,balanced parentheses,easy,,,,
,150,reverse a string,easy,,,,
,494,decimal to binary conversion,medium,,,,
,496,next greater element,easy,,,,
,155,sorting a stack,easy,,,,
,71,simplify path,medium,,,,
monotonic stack,2487,remove nodes from linked list,easy,,,,
,1047,remove all adjacent duplicates in string,easy,,,,
,496,next greater element,easy,,,,
,739,daily temperatures,easy,,,,
,1209,remove all adjacent duplicates in string ii,medium,,,,
,907,sum of subarray minimums,medium,,,,
,402,remove k digits,hard,,,,
hash maps,387,first non-repeating character,easy,,,,
,1133,largest unique number,easy,,,,
,1189,maximum number of balloons,easy,,,,
,409,longest palindrome,easy,,,,
,383,ransom note,easy,,,,
level order traversal,107,reverse level order traversal,easy,,,,
,515,find largest value in each tree row,medium,,,,
,662,maximum width of binary tree,medium,,,,
,1161,maximum level sum of a binary tree,medium,,,,
,103,zigzag traversal,medium,,,,
,1609,even odd tree,medium,,,,
,429,n-ary tree level order traversal,hard,,,,
tree breadth first search,102,binary tree level order traversal,easy,,,,
,107,reverse level order traversal,easy,,,,
,103,zigzag traversal,medium,,,,
,637,level averages in a binary tree,easy,,,,
,111,minimum depth of a binary tree,easy,,,,
,116,level order successor,easy,,,,
,117,connect level order siblings,medium,,,,
,117,connect all level order siblings,medium,,,,
,199,right view of a binary tree,easy,,,,
tree depth first search,112,binary tree path sum,easy,,,,
,113,all paths for a sum,medium,,,,
,129,sum of path numbers,medium,,,,
